variantCopyNumberBucket	copyNumberBucket	count
0.00	0	6
0.05	0	1
0.05	2	2
0.05	3	3
0.10	0	1
0.10	2	4
0.10	3	12
0.10	4	7
0.15	2	27
0.15	3	89
0.15	4	75
0.15	6	1
0.20	2	50
0.20	3	175
0.20	4	98
0.20	6	4
0.20	8	1
0.25	10	1
0.25	2	46
0.25	3	135
0.25	4	104
0.25	6	7
0.30	2	32
0.30	3	94
0.30	4	59
0.30	6	3
0.35	2	18
0.35	3	48
0.35	4	48
0.35	6	1
0.40	2	10
0.40	3	42
0.40	4	35
0.45	2	7
0.45	3	37
0.45	4	26
0.50	2	4
0.50	3	35
0.50	4	20
0.55	2	5
0.55	3	54
0.55	4	16
0.60	2	6
0.60	3	82
0.60	4	14
0.60	6	2
0.65	2	10
0.65	3	166
0.65	4	24
0.70	2	21
0.70	3	221
0.70	4	28
0.75	2	28
0.75	3	360
0.75	4	28
0.80	2	52
0.80	3	502
0.80	4	37
0.80	6	3
0.85	12	1
0.85	2	79
0.85	3	643
0.85	4	57
0.90	10	1
0.90	12	1
0.90	2	104
0.90	3	759
0.90	4	80
0.90	8	1
0.95	1	4
0.95	10	2
0.95	2	136
0.95	3	791
0.95	4	70
0.95	6	1
0.95	8	1
1.00	1	3
1.00	12	1
1.00	2	180
1.00	3	849
1.00	4	85
1.00	6	6
1.05	1	2
1.05	10	2
1.05	2	148
1.05	3	717
1.05	4	71
1.05	6	3
1.10	2	141
1.10	3	594
1.10	4	60
1.10	6	5
1.15	12	1
1.15	2	92
1.15	3	477
1.15	4	57
1.15	6	4
1.20	2	54
1.20	3	316
1.20	4	44
1.20	8	1
1.25	2	21
1.25	3	256
1.25	4	32
1.25	6	1
1.30	2	19
1.30	3	194
1.30	4	28
1.35	2	6
1.35	3	217
1.35	4	23
1.35	6	1
1.40	2	2
1.40	3	243
1.40	4	24
1.40	6	3
1.40	8	1
1.45	2	10
1.45	3	311
1.45	4	51
1.45	6	1
1.50	2	5
1.50	3	343
1.50	4	70
1.55	2	16
1.55	3	435
1.55	4	112
1.55	6	1
1.60	10	1
1.60	2	5
1.60	3	440
1.60	4	154
1.60	6	1
1.60	8	1
1.65	10	1
1.65	12	1
1.65	2	11
1.65	3	505
1.65	4	267
1.65	6	4
1.70	12	1
1.70	2	13
1.70	3	572
1.70	4	389
1.70	6	12
1.70	8	1
1.75	12	1
1.75	2	12
1.75	3	629
1.75	4	561
1.75	6	7
1.80	10	1
1.80	12	3
1.80	2	19
1.80	3	683
1.80	4	734
1.80	6	12
1.80	8	2
1.85	12	3
1.85	2	35
1.85	3	743
1.85	4	889
1.85	6	13
1.85	8	1
1.90	12	1
1.90	2	57
1.90	3	840
1.90	4	1105
1.90	6	17
1.90	8	1
1.95	12	2
1.95	2	1229
1.95	3	884
1.95	4	1106
1.95	6	12
10.15	12	1
2.00	10	1
2.00	12	2
2.00	2	1700
2.00	3	838
2.00	4	1176
2.00	6	16
2.00	8	2
2.05	12	5
2.05	2	2107
2.05	3	800
2.05	4	1086
2.05	6	15
2.05	8	4
2.10	10	2
2.10	12	2
2.10	3	710
2.10	4	918
2.10	5	1
2.10	6	18
2.10	8	2
2.15	12	2
2.15	3	482
2.15	4	738
2.15	6	13
2.15	8	4
2.20	10	2
2.20	12	4
2.20	3	330
2.20	4	541
2.20	6	9
2.20	8	1
2.25	10	1
2.25	12	1
2.25	3	211
2.25	4	391
2.25	5	1
2.25	6	5
2.25	8	1
2.30	10	1
2.30	3	96
2.30	4	212
2.30	6	4
2.35	12	1
2.35	3	43
2.35	4	116
2.35	6	3
2.40	10	1
2.40	3	18
2.40	4	71
2.40	6	4
2.45	12	1
2.45	3	5
2.45	4	41
2.45	6	1
2.45	8	1
2.50	3	6
2.50	4	17
2.50	6	1
2.50	8	1
2.55	3	3
2.55	4	6
2.60	3	1
2.60	4	2
2.65	3	5
2.65	4	2
2.70	10	1
2.70	3	4
2.70	4	2
2.75	3	2
2.80	3	6
2.85	3	23
2.85	4	1
2.90	3	413
2.90	4	1
2.95	3	84
3.00	3	287
3.05	3	553
3.10	3	2
3.10	4	2
3.15	3	11
3.15	4	1
3.20	3	73
3.20	4	1
3.25	3	251
3.30	3	1
3.30	4	3
3.35	3	4
3.45	4	1
3.45	6	1
3.50	4	1
3.50	6	1
3.55	4	2
3.60	4	2
3.65	6	2
3.70	12	1
3.70	4	1
3.75	4	3
3.75	6	2
3.80	4	3
3.80	6	2
3.85	4	14
3.85	6	5
3.90	4	143
3.90	6	10
3.95	4	338
3.95	6	13
4.00	4	4
4.00	6	8
4.05	4	1
4.05	6	6
4.10	6	3
4.15	12	1
4.15	6	6
4.20	6	4
4.25	6	5
4.30	6	6
4.60	6	1
4.65	12	1
5.85	8	1
5.90	8	1
5.95	8	1
6.00	8	3
6.05	6	1
6.05	8	1
6.15	8	2
6.25	8	2
6.30	8	1
6.45	8	1
7.70	10	2
7.85	10	1
7.90	10	1
8.00	10	2
8.45	10	1
9.65	12	1
9.75	12	1
9.95	12	1
